,Trial,Score,Algorithm,Parameters
83,83,0.9456431874825431,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0007404653000205496)]"
84,84,0.9504065509720707,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00030881824809650106)]"
85,85,0.9502085460302702,lasso,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00022570217272519397)]"
86,86,0.9395212103576183,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0013428291937205817)]"
87,87,0.945817700514205,ridge,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ridge'), ('alpha', 0.0028467849906836677)]"
88,88,0.8766401728942645,gbr,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('algorithm', 'gbr'), ('n_estimators', 804), ('learning_rate', 0.8941928933502697), ('max_depth', 3), ('subsample', 0.9827683043423914), ('min_sample_split', 9), ('min_sample_leaf', 5)]"
89,89,-0.008103560672754306,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.49295073829279334)]"
90,90,-6.6695508011727735,xgb,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'xgb'), ('n_estimators', 231), ('learning_rate', 0.00028430446609913475), ('max_depth', 5), ('subsample', 0.5960143581674767), ('colsample_bytree', 0.5167443512180865), ('min_child_weight', 10)]"
91,91,0.9504174207249045,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00015991116577042925)]"
92,92,0.9477011267757256,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0005647434307686057)]"
93,93,0.950449828935693,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0001778078098964815)]"
94,94,0.9477503965819534,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.00023495638773309187), ('l1_ratio', 0.015562619849928256)]"
95,95,0.9078031988613993,rf,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'rf'), ('bootstrap', True), ('n_estimators', 568), ('max_depth', 38), ('min_sample_split', 5), ('min_sample_leaf', 1)]"
96,96,0.9500112102570567,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00011296409806943494)]"
97,97,0.9481262698391015,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.0007729618718592502), ('l1_ratio', 0.0011891018868038594)]"
98,98,0.757303529912053,ada,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'ada'), ('learning_rate', 0.002133530766129601), ('loss', 'linear'), ('n_estimators', 343)]"
99,99,0.9495704757450211,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00040917425002646383)]"
100,100,0.8899020395001224,en,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.02541113505427002), ('l1_ratio', 0.011157661503861426)]"
101,101,0.9504553179855029,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0001907069449723837)]"
102,102,0.9504556138917429,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00018656702321863817)]"
103,103,0.9499559033610787,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0003399585080097176)]"
104,104,0.8431383302498437,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.007521777529803439)]"
105,105,0.9436889041904181,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.000907603113352332)]"
106,106,0.9412812829172692,en,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('algorithm', 'en'), ('alpha', 0.00023724907471272028), ('l1_ratio', 0.20217373718384113)]"
107,107,0.9497318944817149,lasso,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00010917911665398215)]"
108,108,0.9457984584559422,ridge,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'ridge'), ('alpha', 0.00204398748096475)]"
109,109,0.9483387674827204,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.0005431127311346696), ('l1_ratio', 0.037328950487298285)]"
110,110,0.9044751891765352,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0038622861855030256)]"
111,111,0.9504475645861536,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00017600999519226733)]"
112,112,0.9504299049727469,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00024830550488678997)]"
113,113,0.9504161842819692,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00015073974358380593)]"
114,114,0.9503206100996249,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.000100111417157277)]"
115,115,0.9481750275085787,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.00042393708547729364), ('l1_ratio', 0.00020660568507681855)]"
116,116,0.9508115794180636,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0003112943623901131)]"
117,117,0.9405026432935989,gbr,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'gbr'), ('n_estimators', 902), ('learning_rate', 0.34044036009965684), ('max_depth', 2), ('subsample', 0.6914912006901939), ('min_sample_split', 8), ('min_sample_leaf', 8)]"
