,Trial,Score,Parameters,alpha,encoding,scaling
103,103,0.9507781975862446,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.000362676782776113)]",0.000362676782776113,onehot,robust
104,104,0.9508124821158186,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00030748693932609547)]",0.00030748693932609547,onehot,robust
105,105,0.9507777913331168,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002698126982438007)]",0.0002698126982438007,onehot,robust
106,106,0.9506469575473661,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00044361562147509194)]",0.00044361562147509194,onehot,robust
107,107,0.9503160075818219,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00016325726538022193)]",0.00016325726538022193,onehot,robust
108,108,0.950346892814767,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0005718905424736151)]",0.0005718905424736151,onehot,robust
109,109,0.9507591199005603,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.000376068000702289)]",0.000376068000702289,onehot,robust
110,110,0.9413514441362898,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 0.00022536472456229122)]",0.00022536472456229122,ordinal,standard
111,111,0.9508114868731949,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003157933136807474)]",0.0003157933136807474,onehot,robust
112,112,0.9508059517106323,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00033568765641791697)]",0.00033568765641791697,onehot,robust
113,113,0.9507975881523126,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00028161131607390785)]",0.00028161131607390785,onehot,robust
114,114,0.9507407729306946,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002577494365033056)]",0.0002577494365033056,onehot,robust
115,115,0.9504898910650029,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00020073176203173212)]",0.00020073176203173212,onehot,robust
116,116,0.9505761124859532,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00029419074672369986)]",0.00029419074672369986,onehot,robust
117,117,0.9486801214409276,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 4.7974107721960385e-05)]",4.7974107721960385e-05,onehot,robust
118,118,0.9507403830925648,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003883934620889762)]",0.0003883934620889762,onehot,robust
119,119,0.9508014330715536,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003424164611419181)]",0.0003424164611419181,onehot,robust
120,120,0.9481769796037323,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 3.691681995610418e-05)]",3.691681995610418e-05,onehot,maxabs
121,121,0.9508118430152207,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003095721038359429)]",0.0003095721038359429,onehot,robust
122,122,0.9508116478512599,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00031051120233442333)]",0.00031051120233442333,onehot,robust
123,123,0.9506930330947224,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00024650116552103404)]",0.00024650116552103404,onehot,robust
124,124,0.9508118086653601,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00030978212796107125)]",0.00030978212796107125,onehot,robust
125,125,0.9508113216414141,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003169971490382569)]",0.0003169971490382569,onehot,robust
126,126,0.9507092939266517,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0004089569531318941)]",0.0004089569531318941,onehot,robust
127,127,0.9507752047023892,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.000364631002575053)]",0.000364631002575053,onehot,robust
128,128,0.9505995506580348,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00046794747570160736)]",0.00046794747570160736,onehot,robust
129,129,0.9507626882997421,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002646817989341391)]",0.0002646817989341391,onehot,robust
130,130,0.9506425070158689,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00023465903452777185)]",0.00023465903452777185,onehot,robust
131,131,0.9508114676378001,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003210566972122904)]",0.0003210566972122904,onehot,robust
132,132,0.9507930104202927,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00035164292536656174)]",0.00035164292536656174,onehot,robust
133,133,0.9508112919827315,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003166478286723358)]",0.0003166478286723358,onehot,robust
134,134,0.9507972356414316,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002812784015451323)]",0.0002812784015451323,onehot,robust
135,135,0.9508047478827771,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00033748331322837674)]",0.00033748331322837674,onehot,robust
136,136,0.9417986552056098,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.00040970582085139267)]",0.00040970582085139267,ordinal,robust
137,137,0.9505685625360029,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00031170080782570925)]",0.00031170080782570925,onehot,robust
138,138,0.9502716823618675,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.000259295739063359)]",0.000259295739063359,onehot,standard
139,139,0.9507589508282752,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003761842094228072)]",0.0003761842094228072,onehot,robust
140,140,0.9491396850162752,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 6.197174709364292e-05)]",6.197174709364292e-05,onehot,robust
141,141,0.9508120108537239,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00030871356676023186)]",0.00030871356676023186,onehot,robust
142,142,0.9508117641358724,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003026034282549153)]",0.0003026034282549153,onehot,robust
143,143,0.950801557547112,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002853919254547699)]",0.0002853919254547699,onehot,robust
144,144,0.9505979936150102,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00022458305737741924)]",0.00022458305737741924,onehot,robust
145,145,0.9508038034960957,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003390019260309091)]",0.0003390019260309091,onehot,robust
146,146,0.9507336732032575,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00025588943222290783)]",0.00025588943222290783,onehot,robust
147,147,0.950811514760413,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002995329776318518)]",0.0002995329776318518,onehot,robust
148,148,0.950660790674894,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0004360067232292847)]",0.0004360067232292847,onehot,robust
149,149,0.9472390558632767,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00038028662353632275)]",0.00038028662353632275,onehot,maxabs
150,150,0.9506658544991637,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00024003854349337642)]",0.00024003854349337642,onehot,robust
