,Trial,Score,Parameters
46,46,0.9494573476064939,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 668), ('learning_rate', 0.08628813390379311), ('max_depth', 3), ('subsample', 0.375524437857322), ('colsample_bytree', 0.6141252565227772), ('min_child_weight', 3)]"
47,47,0.9516531012497336,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 788), ('learning_rate', 0.044411494752459035), ('max_depth', 3), ('subsample', 0.5190859640492721), ('colsample_bytree', 0.5466868621678507), ('min_child_weight', 3)]"
48,48,0.9516650855676149,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 791), ('learning_rate', 0.04168384406581613), ('max_depth', 3), ('subsample', 0.5228843184922057), ('colsample_bytree', 0.5497002714361975), ('min_child_weight', 3)]"
49,49,0.9386793755444559,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 591), ('learning_rate', 0.01989178145205569), ('max_depth', 3), ('subsample', 0.7708239966474739), ('colsample_bytree', 0.5946542841980951), ('min_child_weight', 3)]"
50,50,0.9470605576083327,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 702), ('learning_rate', 0.03824456222700887), ('max_depth', 2), ('subsample', 0.43153940124232526), ('colsample_bytree', 0.6363526819203236), ('min_child_weight', 3)]"
51,51,0.9527004893588901,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 798), ('learning_rate', 0.04307859360335303), ('max_depth', 3), ('subsample', 0.527011391044376), ('colsample_bytree', 0.5481543934814294), ('min_child_weight', 3)]"
52,52,-3.563599457999903,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 746), ('learning_rate', 0.002864069717409876), ('max_depth', 3), ('subsample', 0.5258569256780385), ('colsample_bytree', 0.5510643002034067), ('min_child_weight', 3)]"
53,53,0.9531153924959778,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 834), ('learning_rate', 0.048152739155978536), ('max_depth', 3), ('subsample', 0.47044301404357414), ('colsample_bytree', 0.5537554911050786), ('min_child_weight', 3)]"
54,54,0.9515043726769775,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 828), ('learning_rate', 0.04184066313005957), ('max_depth', 3), ('subsample', 0.46846028962030667), ('colsample_bytree', 0.5500758829638158), ('min_child_weight', 3)]"
55,55,0.9466935093830096,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 956), ('learning_rate', 0.06147350988663415), ('max_depth', 3), ('subsample', 0.9991356923799777), ('colsample_bytree', 0.5709417314658802), ('min_child_weight', 3)]"
56,56,0.9415615309389234,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 349), ('learning_rate', 0.03490071401423333), ('max_depth', 3), ('subsample', 0.6005140099234146), ('colsample_bytree', 0.5274423520010464), ('min_child_weight', 3)]"
57,57,0.9503425822119205,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 896), ('learning_rate', 0.08516010423396246), ('max_depth', 3), ('subsample', 0.5434785718909563), ('colsample_bytree', 0.5998384876796109), ('min_child_weight', 3)]"
58,58,0.9473216978843185,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 836), ('learning_rate', 0.027400359885257224), ('max_depth', 3), ('subsample', 0.6683576122933117), ('colsample_bytree', 0.5726964698701704), ('min_child_weight', 4)]"
59,59,0.9511049009495531,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('n_estimators', 963), ('learning_rate', 0.046332008935923735), ('max_depth', 3), ('subsample', 0.4031455793483353), ('colsample_bytree', 0.9272646953553536), ('min_child_weight', 3)]"
60,60,0.9491501200472456,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 474), ('learning_rate', 0.06425768458377665), ('max_depth', 3), ('subsample', 0.49779114159020466), ('colsample_bytree', 0.532265436294416), ('min_child_weight', 3)]"
61,61,0.9506287968782615,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 792), ('learning_rate', 0.05149827133551093), ('max_depth', 3), ('subsample', 0.3641505763530994), ('colsample_bytree', 0.6411858100515488), ('min_child_weight', 3)]"
62,62,0.9520224169081148,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 675), ('learning_rate', 0.050628314572637445), ('max_depth', 3), ('subsample', 0.5620311653334396), ('colsample_bytree', 0.5735893026235851), ('min_child_weight', 3)]"
63,63,0.950969524964098,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 669), ('learning_rate', 0.0403781345653165), ('max_depth', 3), ('subsample', 0.5699086942714753), ('colsample_bytree', 0.5038958375880965), ('min_child_weight', 3)]"
64,64,0.9469448504476605,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 611), ('learning_rate', 0.03207797631990269), ('max_depth', 3), ('subsample', 0.5423500602023329), ('colsample_bytree', 0.5745350740065251), ('min_child_weight', 3)]"
65,65,0.949515432945836,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 916), ('learning_rate', 0.02279580081270167), ('max_depth', 3), ('subsample', 0.44954913139067276), ('colsample_bytree', 0.6065811878578645), ('min_child_weight', 3)]"
66,66,0.9486519799548536,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 750), ('learning_rate', 0.05749914112945125), ('max_depth', 3), ('subsample', 0.6659404930609887), ('colsample_bytree', 0.5248917395186162), ('min_child_weight', 3)]"
