,Trial,Score,Parameters,scaling,encoding,n_estimators,learning_rate,max_depth,subsample,colsample,min_child
49,49,0.9326436452520735,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 380), ('learning_rate', 0.04094675572301235), ('max_depth', 2), ('subsample', 0.9966354298477798), ('colsample_bytree', 0.650715206023174), ('min_child_weight', 4)]",standard,onehot,380,0.04094675572301235,2,0.9966354298477798,0.650715206023174,4
50,50,-6.479372132224722,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 577), ('learning_rate', 0.0017380435700058393), ('max_depth', 3), ('subsample', 0.525139305029638), ('colsample_bytree', 0.6062862309338034), ('min_child_weight', 3)]",maxabs,onehot,577,0.0017380435700058393,3,0.525139305029638,0.6062862309338034,3
51,51,0.9515315336645865,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 974), ('learning_rate', 0.08773298544098576), ('max_depth', 3), ('subsample', 0.8410613941736965), ('colsample_bytree', 0.5240173637099572), ('min_child_weight', 2)]",minmax,onehot,974,0.08773298544098576,3,0.8410613941736965,0.5240173637099572,2
52,52,0.9453075391753176,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 512), ('learning_rate', 0.06321778939637208), ('max_depth', 3), ('subsample', 0.9269955537318331), ('colsample_bytree', 0.5226111738088678), ('min_child_weight', 3)]",minmax,onehot,512,0.06321778939637208,3,0.9269955537318331,0.5226111738088678,3
53,53,0.9490257356670335,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 659), ('learning_rate', 0.05447320524624032), ('max_depth', 3), ('subsample', 0.8331532061804345), ('colsample_bytree', 0.5470705754329842), ('min_child_weight', 2)]",minmax,onehot,659,0.05447320524624032,3,0.8331532061804345,0.5470705754329842,2
54,54,0.9496471912644742,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 854), ('learning_rate', 0.08542205759730798), ('max_depth', 3), ('subsample', 0.7414103642914601), ('colsample_bytree', 0.5045994514880336), ('min_child_weight', 3)]",minmax,onehot,854,0.08542205759730798,3,0.7414103642914601,0.5045994514880336,3
55,55,0.9499614770713681,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 731), ('learning_rate', 0.043623965246663544), ('max_depth', 3), ('subsample', 0.6605106057106005), ('colsample_bytree', 0.5547813771353965), ('min_child_weight', 3)]",minmax,onehot,731,0.043623965246663544,3,0.6605106057106005,0.5547813771353965,3
56,56,0.9514407645258837,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 934), ('learning_rate', 0.08495289746200752), ('max_depth', 3), ('subsample', 0.7789629806012488), ('colsample_bytree', 0.5734336628740633), ('min_child_weight', 2)]",minmax,onehot,934,0.08495289746200752,3,0.7789629806012488,0.5734336628740633,2
57,57,0.9500129363452737,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 827), ('learning_rate', 0.08757876482702064), ('max_depth', 3), ('subsample', 0.7664381196826374), ('colsample_bytree', 0.576043697859456), ('min_child_weight', 2)]",minmax,onehot,827,0.08757876482702064,3,0.7664381196826374,0.576043697859456,2
58,58,0.9495678638511771,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 661), ('learning_rate', 0.09898901446714083), ('max_depth', 3), ('subsample', 0.6873124589781624), ('colsample_bytree', 0.5974029213823406), ('min_child_weight', 3)]",maxabs,ordinal,661,0.09898901446714083,3,0.6873124589781624,0.5974029213823406,3
59,59,0.9481009484762634,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 964), ('learning_rate', 0.07268787162901813), ('max_depth', 2), ('subsample', 0.8979468309771101), ('colsample_bytree', 0.6289118216319775), ('min_child_weight', 5)]",minmax,onehot,964,0.07268787162901813,2,0.8979468309771101,0.6289118216319775,5
60,60,0.9492771892193802,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 957), ('learning_rate', 0.06854559146381164), ('max_depth', 3), ('subsample', 0.7181965238757249), ('colsample_bytree', 0.567269996204676), ('min_child_weight', 1)]",minmax,onehot,957,0.06854559146381164,3,0.7181965238757249,0.567269996204676,1
61,61,0.9500426313543682,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 912), ('learning_rate', 0.05427863413409274), ('max_depth', 3), ('subsample', 0.8334067265796391), ('colsample_bytree', 0.5462861732393374), ('min_child_weight', 2)]",minmax,onehot,912,0.05427863413409274,3,0.8334067265796391,0.5462861732393374,2
62,62,0.9524286465172462,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 909), ('learning_rate', 0.08441998776302931), ('max_depth', 3), ('subsample', 0.7762949620357176), ('colsample_bytree', 0.5030836258461631), ('min_child_weight', 2)]",minmax,onehot,909,0.08441998776302931,3,0.7762949620357176,0.5030836258461631,2
63,63,0.9526952468836074,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 866), ('learning_rate', 0.088198087013502), ('max_depth', 3), ('subsample', 0.7947406892310075), ('colsample_bytree', 0.5183906446789761), ('min_child_weight', 2)]",minmax,onehot,866,0.088198087013502,3,0.7947406892310075,0.5183906446789761,2
64,64,0.9495300979685137,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 866), ('learning_rate', 0.08833842108847706), ('max_depth', 3), ('subsample', 0.7348702067790706), ('colsample_bytree', 0.5194495649439904), ('min_child_weight', 2)]",minmax,onehot,866,0.08833842108847706,3,0.7348702067790706,0.5194495649439904,2
65,65,0.9518465222350496,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 934), ('learning_rate', 0.06878340272568903), ('max_depth', 3), ('subsample', 0.6378733672387276), ('colsample_bytree', 0.519066433546067), ('min_child_weight', 2)]",standard,onehot,934,0.06878340272568903,3,0.6378733672387276,0.519066433546067,2
66,66,0.9479573059502159,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 976), ('learning_rate', 0.06668832007289793), ('max_depth', 3), ('subsample', 0.6073873135749475), ('colsample_bytree', 0.5008190358292142), ('min_child_weight', 2)]",standard,onehot,976,0.06668832007289793,3,0.6073873135749475,0.5008190358292142,2
67,67,0.9523937428276843,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 931), ('learning_rate', 0.08525255614311956), ('max_depth', 3), ('subsample', 0.6486696853090361), ('colsample_bytree', 0.5198129381036758), ('min_child_weight', 2)]",standard,onehot,931,0.08525255614311956,3,0.6486696853090361,0.5198129381036758,2
68,68,0.9485866325511181,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 934), ('learning_rate', 0.09995519994062282), ('max_depth', 3), ('subsample', 0.3278228242377518), ('colsample_bytree', 0.517367020812364), ('min_child_weight', 2)]",standard,onehot,934,0.09995519994062282,3,0.3278228242377518,0.517367020812364,2
69,69,0.9515710293772194,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 913), ('learning_rate', 0.04887192831421519), ('max_depth', 3), ('subsample', 0.6586757261754846), ('colsample_bytree', 0.5186696195553557), ('min_child_weight', 1)]",standard,onehot,913,0.04887192831421519,3,0.6586757261754846,0.5186696195553557,1
70,70,0.9515200780097333,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 906), ('learning_rate', 0.05061306373812772), ('max_depth', 3), ('subsample', 0.6372956733667191), ('colsample_bytree', 0.7790263395372099), ('min_child_weight', 1)]",standard,ordinal,906,0.05061306373812772,3,0.6372956733667191,0.7790263395372099,1
71,71,0.9483474060981415,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 898), ('learning_rate', 0.0363826859079482), ('max_depth', 3), ('subsample', 0.6411106823036097), ('colsample_bytree', 0.7687302925125665), ('min_child_weight', 1)]",standard,ordinal,898,0.0363826859079482,3,0.6411106823036097,0.7687302925125665,1
72,72,0.9505866464044083,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 972), ('learning_rate', 0.04996517331951307), ('max_depth', 3), ('subsample', 0.5611735071696279), ('colsample_bytree', 0.8663486306922379), ('min_child_weight', 1)]",standard,ordinal,972,0.04996517331951307,3,0.5611735071696279,0.8663486306922379,1
73,73,0.9515534187094059,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 854), ('learning_rate', 0.059262109637108235), ('max_depth', 3), ('subsample', 0.6341367246365768), ('colsample_bytree', 0.5188671814903679), ('min_child_weight', 1)]",standard,ordinal,854,0.059262109637108235,3,0.6341367246365768,0.5188671814903679,1
74,74,0.9508521312623932,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 843), ('learning_rate', 0.06080260564390574), ('max_depth', 3), ('subsample', 0.5223622879565392), ('colsample_bytree', 0.5218793680874979), ('min_child_weight', 1)]",standard,ordinal,843,0.06080260564390574,3,0.5223622879565392,0.5218793680874979,1
75,75,0.951190427721471,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 871), ('learning_rate', 0.06961859480738232), ('max_depth', 3), ('subsample', 0.5972536918513175), ('colsample_bytree', 0.5123474906524957), ('min_child_weight', 1)]",standard,ordinal,871,0.06961859480738232,3,0.5972536918513175,0.5123474906524957,1
76,76,0.9512008593325575,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 813), ('learning_rate', 0.06106809925344485), ('max_depth', 3), ('subsample', 0.6734636591287297), ('colsample_bytree', 0.8188606102286358), ('min_child_weight', 1)]",standard,onehot,813,0.06106809925344485,3,0.6734636591287297,0.8188606102286358,1
77,77,0.9328659713953954,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 942), ('learning_rate', 0.009320700837847818), ('max_depth', 3), ('subsample', 0.6297725717597874), ('colsample_bytree', 0.5623843300286179), ('min_child_weight', 2)]",standard,onehot,942,0.009320700837847818,3,0.6297725717597874,0.5623843300286179,2
78,78,0.20195898599480006,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 993), ('learning_rate', 0.003669137486657652), ('max_depth', 3), ('subsample', 0.4644633240979797), ('colsample_bytree', 0.5315215329652954), ('min_child_weight', 2)]",standard,ordinal,993,0.003669137486657652,3,0.4644633240979797,0.5315215329652954,2
