,Trial,Score,Parameters
148,148,0.9496346231975282,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 29.099494702476203)]"
149,149,0.9500457511015895,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.816735206903836)]"
150,150,0.9500379614411486,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 19.722349200750067)]"
151,151,0.9500483600651639,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.409310662086103)]"
152,152,0.9500251606455856,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 26.81307231672576)]"
153,153,0.9500482045128507,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.053917511432136)]"
154,154,0.9500399308054037,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 24.994025037399844)]"
155,155,0.9500233227142288,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.343956105718)]"
156,156,0.9500476167262428,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.65674209727844)]"
157,157,0.949987515575604,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 16.309173400347543)]"
158,158,0.95004539919406,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.91173386406122)]"
159,159,0.9499879010456107,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 29.796008298380112)]"
160,160,0.9500404344981492,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.049034201211338)]"
161,161,0.9500481226040683,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.816752742039668)]"
162,162,0.9500295127859715,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 26.353306579606656)]"
163,163,0.9500479517193373,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.94956197631877)]"
164,164,0.9500227355823212,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.29988151705724)]"
165,165,0.9500438505005816,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.609010135421357)]"
166,166,0.9500414761961599,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 24.735258225972743)]"
167,167,0.9225725043330364,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('alpha', 21.374909075210688)]"
168,168,0.9500196772656458,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 27.340993494120735)]"
169,169,0.9499306339061837,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 33.12076424313428)]"
170,170,0.9296967248021526,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 19.505281835072328)]"
171,171,0.9500482081662067,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.731655588062353)]"
172,172,0.9500481056140272,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.83172125683821)]"
173,173,0.9500410536073159,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 24.808496980616887)]"
174,174,0.9500483503928632,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.479647397025484)]"
175,175,0.9500117671389496,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 17.56461931419393)]"
176,176,0.9500410621345262,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.14044036106053)]"
177,177,0.9500118830060315,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 28.020731041012905)]"
178,178,0.9500463451847218,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.18961551426902)]"
179,179,0.9496694188893887,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 25.72753706597755)]"
180,180,0.9500464161071367,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.61855654956772)]"
181,181,0.9500483590910239,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.36165924970174)]"
182,182,0.9500222134811231,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.261169166906186)]"
183,183,0.9500461983689439,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.14736314029406)]"
184,184,0.9500409023861944,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 24.834222308350743)]"
185,185,0.9500331366169672,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 19.189959938621882)]"
186,186,0.9491676553098263,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 5.289123634008208)]"
187,187,0.9500482518983524,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.678703780304094)]"
188,188,0.9499839815874029,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 30.055651877217898)]"
189,189,0.9499785427021259,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 15.923833160959475)]"
190,190,0.9500237921337019,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 26.949550779128547)]"
191,191,0.9500482198540038,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.718337543917144)]"
192,192,0.9500483453215642,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.499338041970613)]"
193,193,0.9500441841050942,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.674486805499846)]"
194,194,0.9483182875450167,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 80.80491365994801)]"
195,195,0.950045703575945,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.829909026683346)]"
196,196,0.9500330142712248,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 19.17777003590738)]"
197,197,0.9418373998321732,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 21.424784170098274)]"
198,198,0.9500341744092001,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 25.80409297661334)]"
199,199,0.9500483586180628,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.35648581527565)]"
