,Trial,Score,Parameters
78,78,0.9497105734369352,"[('scaling_method', 'minmax'), ('n_estimators', 929), ('learning_rate', 0.07022076278354103), ('max_depth', 2), ('subsample', 0.7475225262005804), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
79,79,0.9466249587091303,"[('scaling_method', 'minmax'), ('n_estimators', 985), ('learning_rate', 0.11417193772893686), ('max_depth', 3), ('subsample', 0.6591564374194722), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
80,80,0.9492334909658819,"[('scaling_method', 'minmax'), ('n_estimators', 967), ('learning_rate', 0.040274597766048296), ('max_depth', 3), ('subsample', 0.6820720294501523), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
81,81,0.9501978640955506,"[('scaling_method', 'minmax'), ('n_estimators', 999), ('learning_rate', 0.04749020735986584), ('max_depth', 3), ('subsample', 0.6997581058004929), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
82,82,0.9486230680796363,"[('scaling_method', 'minmax'), ('n_estimators', 984), ('learning_rate', 0.021135978084881244), ('max_depth', 3), ('subsample', 0.7258051912020144), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
83,83,0.9495891534441675,"[('scaling_method', 'minmax'), ('n_estimators', 937), ('learning_rate', 0.030717835028849092), ('max_depth', 3), ('subsample', 0.6838724986006854), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
84,84,0.9473419376654645,"[('scaling_method', 'minmax'), ('n_estimators', 991), ('learning_rate', 0.014524967778683912), ('max_depth', 3), ('subsample', 0.6447408566901744), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
85,85,0.9485033687531648,"[('scaling_method', 'minmax'), ('n_estimators', 917), ('learning_rate', 0.05864536068225483), ('max_depth', 3), ('subsample', 0.6683716640563555), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
86,86,0.949804881914339,"[('scaling_method', 'minmax'), ('n_estimators', 968), ('learning_rate', 0.04052156151145881), ('max_depth', 3), ('subsample', 0.7104727406387363), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
87,87,0.9410035072031449,"[('scaling_method', 'minmax'), ('n_estimators', 947), ('learning_rate', 0.008842585002641384), ('max_depth', 3), ('subsample', 0.6952972658219789), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
88,88,0.9470978895836281,"[('scaling_method', 'minmax'), ('n_estimators', 963), ('learning_rate', 0.10021552276449751), ('max_depth', 3), ('subsample', 0.7242657662624865), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
89,89,0.9498290009027935,"[('scaling_method', 'minmax'), ('n_estimators', 1000), ('learning_rate', 0.02930694493112565), ('max_depth', 3), ('subsample', 0.6627283935331608), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
90,90,0.9410267084517132,"[('scaling_method', 'minmax'), ('n_estimators', 982), ('learning_rate', 0.24398460439997102), ('max_depth', 2), ('subsample', 0.7505209290473733), ('min_sample_split', 7), ('min_sample_leaf', 4)]"
91,91,0.9502847031331129,"[('scaling_method', 'minmax'), ('n_estimators', 1000), ('learning_rate', 0.02904779392526536), ('max_depth', 3), ('subsample', 0.6732903287966362), ('min_sample_split', 8), ('min_sample_leaf', 2)]"
92,92,0.9487242653369946,"[('scaling_method', 'minmax'), ('n_estimators', 979), ('learning_rate', 0.055768007206454556), ('max_depth', 3), ('subsample', 0.6768151870007297), ('min_sample_split', 8), ('min_sample_leaf', 1)]"
93,93,0.9503333129585136,"[('scaling_method', 'minmax'), ('n_estimators', 865), ('learning_rate', 0.07216779447601011), ('max_depth', 3), ('subsample', 0.7048835282971355), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
94,94,0.9427209445760875,"[('scaling_method', 'minmax'), ('n_estimators', 909), ('learning_rate', 0.15765464579367622), ('max_depth', 3), ('subsample', 0.691393101724349), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
95,95,0.9489028767311534,"[('scaling_method', 'minmax'), ('n_estimators', 879), ('learning_rate', 0.0739969160136639), ('max_depth', 3), ('subsample', 0.6481459781491874), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
96,96,0.9477191334058881,"[('scaling_method', 'minmax'), ('n_estimators', 851), ('learning_rate', 0.025152338976568458), ('max_depth', 3), ('subsample', 0.6680578279773071), ('min_sample_split', 8), ('min_sample_leaf', 4)]"
97,97,0.9469598693072395,"[('scaling_method', 'robust'), ('n_estimators', 949), ('learning_rate', 0.016844333953952684), ('max_depth', 3), ('subsample', 0.7368562241987047), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
98,98,0.9499836136706673,"[('scaling_method', 'minmax'), ('n_estimators', 901), ('learning_rate', 0.03397735775582567), ('max_depth', 3), ('subsample', 0.699466069581207), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
99,99,0.951105698037396,"[('scaling_method', 'minmax'), ('n_estimators', 926), ('learning_rate', 0.034431278083364804), ('max_depth', 3), ('subsample', 0.7027644475948399), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
